SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_BLOCKS_PER36	BLOCKS_PER36	CHANGE_IN_BP36	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	2.06143344709897610921501706484641638225	2.76923076923076923076923076923076923077	0.70779732213179312155421370438435284852	62
164	31-OCT-12	Shawn Marion	0.6823475679378853619547841973053208495088	0	-0.6823475679378853619547841973053208495088	62
162	31-OCT-12	Darren Collison	0.1882929000667705319385711106165145782328	0	-0.1882929000667705319385711106165145782328	65
163	31-OCT-12	O.J. Mayo	0.3061803061803061803061803061803061803062	0	-0.3061803061803061803061803061803061803062	62
166	31-OCT-12	Brandan Wright	2.18784530386740331491712707182320441989	2.76923076923076923076923076923076923077	0.58138546536336591585210369740756481088	46
168	31-OCT-12	Vince Carter	0.6948193295602960383108402263822377013496	0	-0.6948193295602960383108402263822377013496	47
167	31-OCT-12	Jae Crowder	0.461828700792353163124135328889447868194	0	-0.461828700792353163124135328889447868194	42
229	31-OCT-12	Pau Gasol	1.83521520402459474566797093348239239799	0	-1.83521520402459474566797093348239239799	80
228	31-OCT-12	Dwight Howard	1.96909765142150803461063040791100123609	0.8780487804878048780487804878048780487804	-1.09104887093370315656184992010612318731	79
231	31-OCT-12	Metta World Peace	0.6114925912540657752078062883989880737268	1.09090909090909090909090909090909090909	0.4794164996550251338831028025101028353632	69
230	31-OCT-12	Kobe Bryant	0.2541859995965301593705870486181157958443	0	-0.2541859995965301593705870486181157958443	73
232	31-OCT-12	Steve Nash	0.1396250808015513897866839043309631544926	0	-0.1396250808015513897866839043309631544926	50
233	31-OCT-12	Steve Blake	0.1645923291846583693167386334772669545339	0	-0.1645923291846583693167386334772669545339	42
259	01-NOV-12	Tony Parker	0.1227621483375959079283887468030690537084	0	-0.1227621483375959079283887468030690537084	70
262	01-NOV-12	Tim Duncan	2.4368380660015349194167306216423637759	3.1764705882352941176470588235294117647	0.7396325222337591982303282018870479888	68
263	01-NOV-12	Kawhi Leonard	0.9112268378345646118444955795082959912808	0	-0.9112268378345646118444955795082959912808	66
261	01-NOV-12	Danny Green	1.27205542725173210161662817551963048499	0	-1.27205542725173210161662817551963048499	68
260	01-NOV-12	Boris Diaw	0.4909887968826108134437408670238675109584	1.02857142857142857142857142857142857143	0.5375826316888177579848305615475610604716	65
264	01-NOV-12	Stephen Jackson	0.4172813487881981032665964172813487881964	0	-0.4172813487881981032665964172813487881964	52
457	02-NOV-12	Kevin Durant	1.25183724681842624126187488797275497401	1.67441860465116279069767441860465116279	0.42258135783273654943579953063189618878	84
458	02-NOV-12	Russell Westbrook	0.2847640449438202247191011235955056179775	0	-0.2847640449438202247191011235955056179775	72
459	02-NOV-12	Serge Ibaka	2.6336425361002199483599502725447068949	2.66666666666666666666666666666666666667	0.03302413056644671830671639412195977177	58
460	02-NOV-12	Kendrick Perkins	1.37253924744580114627460752554198853725	1.71428571428571428571428571428571428571	0.34174646683991313943967818874372574846	49
461	02-NOV-12	Thabo Sefolosha	0.67279894875164257555847568988173455979	2	1.32720105124835742444152431011826544021	45
462	02-NOV-12	Kevin Martin	0.0820668693009118541033434650455927051672	1.24137931034482758620689655172413793104	1.15931244104391573210355308667854522587	62
463	02-NOV-12	Nick Collison	0.734881347282470017861699413115590711918	1.28571428571428571428571428571428571429	0.550832938431815696424014872598695002372	48
572	03-NOV-12	Ty Lawson	0.156661973633687444003583770638679124536	0.8780487804878048780487804878048780487804	0.7213868068541174340451967171661989242444	79
573	03-NOV-12	Andre Iguodala	0.5609011474892093904621539109379934729964	0.9	0.3390988525107906095378460890620065270036	76
574	03-NOV-12	Danilo Gallinari	0.4220462850182704019488428745432399512792	0	-0.4220462850182704019488428745432399512792	72
576	03-NOV-12	Kosta Koufos	1.62674094707520891364902506963788300836	0	-1.62674094707520891364902506963788300836	41
575	03-NOV-12	Kenneth Faried	1.1948051948051948051948051948051948052	0	-1.1948051948051948051948051948051948052	56
578	03-NOV-12	Corey Brewer	0.396617986164488854727132974634896233666	0	-0.396617986164488854727132974634896233666	47
577	03-NOV-12	Andre Miller	0.1652714015662975965433432352146907912503	0	-0.1652714015662975965433432352146907912503	49
562	03-NOV-12	Paul George	0.4328587918430165448249326664101577529812	3	2.56714120815698345517506733358984224702	84
563	03-NOV-12	David West	1.30579825258141382049245432883240667196	1.53191489361702127659574468085106382979	0.22611664103560745610329035201865715783	81
564	03-NOV-12	George Hill	0.3433187478963312016156176371592056546617	0.7999999999999999999999999999999999999992	0.4566812521036687983843823628407943453375	79
566	03-NOV-12	Gerald Green	0.5113995089442300947036127674500175377044	0	-0.5113995089442300947036127674500175377044	56
565	03-NOV-12	Roy Hibbert	2.53261028872929796277297376520592114905	5.02325581395348837209302325581395348837	2.49064552522419040932004949060803233932	67
567	03-NOV-12	Lance Stephenson	0.1945420156714401513104566333423399081329	1.125	0.9304579843285598486895433666576600918671	57
659	03-NOV-12	Gerald Henderson	0.464707497940126338917879703378192804174	0	-0.464707497940126338917879703378192804174	56
657	03-NOV-12	Kemba Walker	0.4186412520765935122846900410946926641604	0	-0.4186412520765935122846900410946926641604	64
656	03-NOV-12	Brendan Haywood	1.68	1.16129032258064516129032258064516129032	-0.51870967741935483870967741935483870968	62
655	03-NOV-12	Byron Mullens	0.808383233532934131736526946107784431136	0	-0.808383233532934131736526946107784431136	63
658	03-NOV-12	Michael Kidd-Gilchrist	1.02449757958046061317294997799618600558	1.33333333333333333333333333333333333333	0.30883575375287272016038335533714732775	47
661	03-NOV-12	Ben Gordon	0.2730030333670374115267947421638018200202	0	-0.2730030333670374115267947421638018200202	41
660	03-NOV-12	Ramon Sessions	0.1176875430144528561596696490020646937371	0	-0.1176875430144528561596696490020646937371	49
692	03-NOV-12	Monta Ellis	0.4119718309859154929577464788732394366184	2	1.58802816901408450704225352112676056338	73
694	03-NOV-12	Tobias Harris	0.5845485572448029785913744958113558796156	0	-0.5845485572448029785913744958113558796156	46
691	03-NOV-12	Brandon Jennings	0.1599312123817712811693895098882201203783	0.972972972972972972972972972972972972972	0.8130417605912016918035834630847528525937	66
693	03-NOV-12	Ersan Ilyasova	0.5130759651307596513075965130759651307596	0	-0.5130759651307596513075965130759651307596	52
696	03-NOV-12	Mike Dunleavy	0.5932721712538226299694189602446483180444	1.02857142857142857142857142857142857143	0.4352992573176059414591524683267802533856	58
698	03-NOV-12	Ekpe Udoh	2.20645161290322580645161290322580645161	0	-2.20645161290322580645161290322580645161	46
697	03-NOV-12	Larry Sanders	3.05944517833553500660501981505944517834	4.8	1.74055482166446499339498018494055482166	52
530	03-NOV-12	Rajon Rondo	0.1784386617100371747211895910780669144981	0	-0.1784386617100371747211895910780669144981	81
534	03-NOV-12	Courtney Lee	0.3651347068145800316957210776545166402536	0	-0.3651347068145800316957210776545166402536	62
531	03-NOV-12	Paul Pierce	0.4631921824104234527687296416938110749192	0	-0.4631921824104234527687296416938110749192	63
535	03-NOV-12	Brandon Bass	1.01870503597122302158273381294964028777	2.57142857142857142857142857142857142857	1.5527235354573484069886947584789311408	55
533	03-NOV-12	Kevin Garnett	0.9994660971703150026695141484249866524296	1.24137931034482758620689655172413793104	0.2419132131745125835373824032991512786104	55
537	03-NOV-12	Jeff Green	0.6600953895071542130365659777424483306836	0	-0.6600953895071542130365659777424483306836	43
536	03-NOV-12	Jason Terry	0.3114635904830569574621485219899062725307	0	-0.3114635904830569574621485219899062725307	42
532	03-NOV-12	Jared Sullinger	0.9612527604898614735996787793615739811296	1.2	0.2387472395101385264003212206384260188704	48
624	03-NOV-12	Joakim Noah	1.68354611963850236694878783531774494334	1.67441860465116279069767441860465116279	-0.00912751498733957625111341671309378055	75
623	03-NOV-12	Luol Deng	0.3491877994624284211756456702115227299287	0	-0.3491877994624284211756456702115227299287	74
627	03-NOV-12	Richard Hamilton	0.1612541993281075027995520716685330347145	0	-0.1612541993281075027995520716685330347145	46
625	03-NOV-12	Carlos Boozer	0.3792486583184257602862254025044722719128	0	-0.3792486583184257602862254025044722719128	53
626	03-NOV-12	Kirk Hinrich	0.4030686294837238233464648558988181629708	0	-0.4030686294837238233464648558988181629708	41
629	03-NOV-12	Nate Robinson	0.1903419104688050757842791681353542474445	0	-0.1903419104688050757842791681353542474445	51
628	03-NOV-12	Marco Belinelli	0.1424802110817941952506596306068601583114	0	-0.1424802110817941952506596306068601583114	50
681	03-NOV-12	Anderson Varejao	0.786407766990291262135922330097087378642	0	-0.786407766990291262135922330097087378642	66
683	03-NOV-12	Kyrie Irving	0.3335108082206367798956447662655734213609	0	-0.3335108082206367798956447662655734213609	63
682	03-NOV-12	Alonzo Gee	0.4368131868131868131868131868131868131856	0	-0.4368131868131868131868131868131868131856	61
685	03-NOV-12	Dion Waiters	0.3485350318471337579617834394904458598726	0	-0.3485350318471337579617834394904458598726	54
684	03-NOV-12	Tristan Thompson	0.8709677419354838709677419354838709677424	0	-0.8709677419354838709677419354838709677424	54
686	03-NOV-12	Daniel Gibson	0.2093023255813953488372093023255813953488	0	-0.2093023255813953488372093023255813953488	42
647	03-NOV-12	James Harden	0.535013326871819723770293191180033922948	0.8780487804878048780487804878048780487804	0.3430354536159851542784872966248441258324	81
649	03-NOV-12	Jeremy Lin	0.5541590170879819234571388222002542013856	0	-0.5541590170879819234571388222002542013856	77
650	03-NOV-12	Omer Asik	1.14599341383095499451152579582875960483	2.05714285714285714285714285714285714286	0.91114944331190214834561706131409753803	70
646	03-NOV-12	Chandler Parsons	0.4002416918429003021148036253776435045312	0	-0.4002416918429003021148036253776435045312	78
648	03-NOV-12	Patrick Patterson	0.7189313183106193496154365132910538388868	0	-0.7189313183106193496154365132910538388868	67
651	03-NOV-12	Carlos Delfino	0.2326332794830371567043618739903069466882	0	-0.2326332794830371567043618739903069466882	46
581	03-NOV-12	LeBron James	0.6491708259539526646272741909515375945916	1.84615384615384615384615384615384615385	1.19698302019989348921887965520230855926	76
582	03-NOV-12	Dwyane Wade	0.6853040356793212226694223865984988578256	4.23529411764705882352941176470588235294	3.54999008196773760085998937810738349511	69
580	03-NOV-12	Chris Bosh	1.10519187358916478555304740406320541761	0	-1.10519187358916478555304740406320541761	66
584	03-NOV-12	Shane Battier	0.9868725868725868725868725868725868725864	0	-0.9868725868725868725868725868725868725864	45
583	03-NOV-12	Mario Chalmers	0.2269617706237424547283702213279678068411	1.05882352941176470588235294117647058823	0.8318617587880222511539827198485027813889	54
585	03-NOV-12	Ray Allen	0.2066985645933014354066985645933014354067	1.24137931034482758620689655172413793104	1.03468074575152615080019798713083649563	56
702	03-NOV-12	Mo Williams	0.2544987146529562982005141388174807197943	0	-0.2544987146529562982005141388174807197943	70
706	03-NOV-12	Marvin Williams	0.8348183687457162440027416038382453735452	0	-0.8348183687457162440027416038382453735452	54
704	03-NOV-12	Al Jefferson	1.27478042659974905897114178168130489335	2.05714285714285714285714285714285714286	0.78236243054310808388600107546155224951	63
703	03-NOV-12	Gordon Hayward	0.4170319348778960551033187226048841577952	1	0.5829680651221039448966812773951158422048	62
705	03-NOV-12	Paul Millsap	1.33951762523191094619666048237476808905	3.48387096774193548387096774193548387097	2.14435334251002453767430725956071578192	56
707	03-NOV-12	Randy Foye	0.4638202247191011235955056179775280898864	0	-0.4638202247191011235955056179775280898864	52
708	03-NOV-12	Derrick Favors	1.83568236507390855964248882777586799587	1.56521739130434782608695652173913043478	-0.27046497376956073355553230603673756109	46
613	03-NOV-12	Greivis Vasquez	0.1303105353400647742427128976947990093351	0	-0.1303105353400647742427128976947990093351	73
615	03-NOV-12	Robin Lopez	1.84473279085111062238838794809764680009	4.36363636363636363636363636363636363636	2.51890357278525301397524841553871683627	69
616	03-NOV-12	Al-Farouq Aminu	0.9343575418994413407821229050279329608924	2.66666666666666666666666666666666666667	1.73230912476722532588454376163873370578	61
614	03-NOV-12	Austin Rivers	0.2380952380952380952380952380952380952381	1.05882352941176470588235294117647058823	0.8207282913165266106442577030812324929919	63
612	03-NOV-12	Ryan Anderson	0.3588190764572293716881150643451930355791	0	-0.3588190764572293716881150643451930355791	73
