SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_POINTS_PER36	POINTS_PER36	CHANGE_IN_PP36	COMBINED_MINUTES
162	31-OCT-12	Darren Collison	15.8286223013576674827509459158691297574	18.54545454545454545454545454545454545455	2.71683224409687797179450862958541569715	65
163	31-OCT-12	O.J. Mayo	15.32262332262332262332262332262332262332	13.93548387096774193548387096774193548387	-1.38713945165558068783875235488138713945	62
164	31-OCT-12	Shawn Marion	12.49600365380223795387074674583238182234	6.20689655172413793103448275862068965517	-6.28910710207810002283626398721169216717	62
165	31-OCT-12	Elton Brand	10.96245733788395904436860068259385665529	6.92307692307692307692307692307692307692	-4.03938041480703596744552375951693357837	62
166	31-OCT-12	Brandan Wright	15.4143646408839779005524861878453038674	20.76923076923076923076923076923076923077	5.35486612834679133021674458138546536337	46
167	31-OCT-12	Jae Crowder	13.70997358822789586215570368507106024399	13.09090909090909090909090909090909090909	-0.6190644973188049530647945941619693349	42
168	31-OCT-12	Vince Carter	15.06660861993905093600348280365694383979	21.6	6.53339138006094906399651719634305616021	47
228	31-OCT-12	Dwight Howard	17.89245982694684796044499381953028430161	28.97560975609756097560975609756097560976	11.08314992915071301516476227803069130815	79
229	31-OCT-12	Pau Gasol	17.7927333705980994969256567915036333147	14.4	-3.3927333705980994969256567915036333147	80
230	31-OCT-12	Kobe Bryant	23.63929796247730482146459552148476901352	28.42105263157894736842105263157894736842	4.7817546691016425469564571100941783549	73
231	31-OCT-12	Metta World Peace	12.62016624503071919045898084568124322371	10.90909090909090909090909090909090909091	-1.7110753359398100995498899365903341328	69
232	31-OCT-12	Steve Nash	13.47382029734970911441499676793794440853	4.5	-8.97382029734970911441499676793794440853	50
233	31-OCT-12	Steve Blake	9.26289052578105156210312420624841249683	9	-0.26289052578105156210312420624841249683	42
259	01-NOV-12	Tony Parker	17.83558640847643405188162221410303251735	14.4	-3.43558640847643405188162221410303251735	70
260	01-NOV-12	Boris Diaw	11.77788602045786653677545056015586945933	10.28571428571428571428571428571428571429	-1.49217173474358082248973627444158374504	65
261	01-NOV-12	Danny Green	12.36304849884526558891454965357967667436	13.37142857142857142857142857142857142857	1.00838007258330583965687891784889475421	68
262	01-NOV-12	Tim Duncan	17.66016884113584036838066001534919416731	21.1764705882352941176470588235294117647	3.51630174709945374926639880818021759739	68
263	01-NOV-12	Kawhi Leonard	20.0731500544992127891486011868717451859	6.75	-13.3231500544992127891486011868717451859	66
264	01-NOV-12	Stephen Jackson	10.69757639620653319283456269757639620653	14.66666666666666666666666666666666666667	3.96909027046013347383210396909027046014	52
457	02-NOV-12	Kevin Durant	27.80820935651550457071159706040509051802	19.25581395348837209302325581395348837209	-8.55239540302713247768834124645160214593	84
458	02-NOV-12	Russell Westbrook	26.30184269662921348314606741573033707865	32.91428571428571428571428571428571428571	6.61244301765650080256821829855537720706	72
459	02-NOV-12	Serge Ibaka	15.78464186669216792579133594721239361194	9.33333333333333333333333333333333333333	-6.45130853335883459245800261387906027861	58
460	02-NOV-12	Kendrick Perkins	6.68327934213805133316720657861948666833	0	-6.68327934213805133316720657861948666833	49
461	02-NOV-12	Thabo Sefolosha	10.06044678055190538764783180026281208936	4	-6.06044678055190538764783180026281208936	45
462	02-NOV-12	Kevin Martin	19.91489361702127659574468085106382978723	23.58620689655172413793103448275862068965	3.67131327953044754218635363169479090242	62
463	02-NOV-12	Nick Collison	8.71752998213830058688440928808369482011	15.42857142857142857142857142857142857143	6.71104144643312798454416214048773375132	48
530	03-NOV-12	Rajon Rondo	11.93308550185873605947955390334572490706	10.8	-1.13308550185873605947955390334572490706	81
531	03-NOV-12	Paul Pierce	16.26449511400651465798045602605863192182	27.77142857142857142857142857142857142857	11.50693345742205677059097254536993950675	63
532	03-NOV-12	Jared Sullinger	16.0377434250150572174262196346115237904	4.8	-11.2377434250150572174262196346115237904	48
533	03-NOV-12	Kevin Garnett	13.60811532301121195942338494394020288307	18.62068965517241379310344827586206896552	5.01257433216120183368006333192186608245	55
534	03-NOV-12	Courtney Lee	12.73026941362916006339144215530903328051	4.96551724137931034482758620689655172414	-7.76475217224984971856385594841248155637	62
535	03-NOV-12	Brandon Bass	14.04316546762589928057553956834532374101	6.42857142857142857142857142857142857143	-7.61459403905447070914696813977389516958	55
536	03-NOV-12	Jason Terry	10.94664744051910598413842826243691420331	16.94117647058823529411764705882352941177	5.99452903006912930997921879638661520846	42
537	03-NOV-12	Jeff Green	16.42225755166931637519872813990461049284	24.75	8.32774244833068362480127186009538950716	43
552	03-NOV-12	Tyreke Evans	19.05017779533781114184116949822204662189	11.45454545454545454545454545454545454546	-7.59563234079235659638662404367659207643	74
553	03-NOV-12	DeMarcus Cousins	25.6680145572179539021431459765467044076	18	-7.6680145572179539021431459765467044076	67
554	03-NOV-12	Jason Thompson	10.98210116731517509727626459143968871595	6	-4.98210116731517509727626459143968871595	58
555	03-NOV-12	Isaiah Thomas	23.35550207831984248523299059286808138263	7.82608695652173913043478260869565217391	-15.52941512179810335479820798417242920872	49
556	03-NOV-12	James Johnson	13.82424242424242424242424242424242424242	7.2	-6.62424242424242424242424242424242424242	41
557	03-NOV-12	Marcus Thornton	17.34995700773860705073086844368013757524	22.28571428571428571428571428571428571428	4.93575727797567866355484584203414813904	70
558	03-NOV-12	Aaron Brooks	15.7408610885458976441917140536149471974	11.31428571428571428571428571428571428571	-4.42657537426018335847742833932923291169	42
559	03-NOV-12	Chuck Hayes	6.19309537741369221767115272088940901112	2.11764705882352941176470588235294117647	-4.07544831859016280590644683853646783465	54
562	03-NOV-12	Paul George	21.50788764909580607926125432858791843016	12	-9.50788764909580607926125432858791843016	84
563	03-NOV-12	David West	15.70293884034948371723590150913423351867	13.78723404255319148936170212765957446808	-1.91570479779629222787419938147465905059	81
564	03-NOV-12	George Hill	14.6617300572197913160552002692696061932	14.4	-0.2617300572197913160552002692696061932	79
565	03-NOV-12	Roy Hibbert	12.97962772973765205921149054668034588891	10.04651162790697674418604651162790697674	-2.93311610183067531502544403505243891217	67
566	03-NOV-12	Gerald Green	17.79165205191160996141704665029814100316	25.5	7.70834794808839003858295334970185899684	56
567	03-NOV-12	Lance Stephenson	13.36990002701972439881113212645231018643	11.25	-2.11990002701972439881113212645231018643	57
572	03-NOV-12	Ty Lawson	15.55100473569691539741456546781006015615	12.29268292682926829268292682926829268293	-3.25832180886764710473163863854176747322	79
573	03-NOV-12	Andre Iguodala	10.61543320349510474786819665227918728287	19.8	9.18456679650489525213180334772081271713	76
574	03-NOV-12	Danilo Gallinari	19.07429963459196102314250913520097442144	12.64864864864864864864864864864864864865	-6.42565098594331237449386048655232577279	72
575	03-NOV-12	Kenneth Faried	16.61865407319952774498229043683589138135	22	5.38134592680047225501770956316410861865	56
576	03-NOV-12	Kosta Koufos	12.52924791086350974930362116991643454039	5.14285714285714285714285714285714285714	-7.38639076800636689216076402705929168325	41
577	03-NOV-12	Andre Miller	11.62732919254658385093167701863354037267	21.85714285714285714285714285714285714286	10.22981366459627329192546583850931677019	49
578	03-NOV-12	Corey Brewer	14.13066871637202152190622598001537279016	15.65217391304347826086956521739130434783	1.52150519667145673896333923737593155767	47
580	03-NOV-12	Chris Bosh	19.34627539503386004514672686230248306998	36.92307692307692307692307692307692307708	17.5768015280430630317763500607744400071	66
581	03-NOV-12	LeBron James	25.5726936081146353244244083078409273869	18.46153846153846153846153846153846153846	-7.11115514657617378596286984630246584844	76
582	03-NOV-12	Dwyane Wade	21.78483628848036549548569563798542369194	14.8235294117647058823529411764705882353	-6.96130687671565961313275446151483545664	69
583	03-NOV-12	Mario Chalmers	12.62293762575452716297786720321931589537	9.52941176470588235294117647058823529412	-3.09352586104864481003669073263108060125	54
584	03-NOV-12	Shane Battier	8.63166023166023166023166023166023166023	13.71428571428571428571428571428571428572	5.08262548262548262548262548262548262549	45
585	03-NOV-12	Ray Allen	14.27368421052631578947368421052631578947	28.55172413793103448275862068965517241379	14.27803992740471869328493647912885662432	56
612	03-NOV-12	Ryan Anderson	17.85465556396669190007570022710068130204	10.28571428571428571428571428571428571429	-7.56894127825240618578998594138639558775	73
613	03-NOV-12	Greivis Vasquez	14.27243284435130501047818632120403886455	18	3.72756715564869498952181367879596113545	73
614	03-NOV-12	Austin Rivers	13.65608465608465608465608465608465608466	9.52941176470588235294117647058823529412	-4.12667289137877373171490818549642079054	63
615	03-NOV-12	Robin Lopez	13.71673630965471739608533098746426215087	17.45454545454545454545454545454545454545	3.73780914489073714936921446708119239458	69
616	03-NOV-12	Al-Farouq Aminu	11.1829608938547486033519553072625698324	10.66666666666666666666666666666666666667	-0.51629422718808193668528864059590316573	61
623	03-NOV-12	Luol Deng	14.54808928362743952319738226013789879631	15.90697674418604651162790697674418604651	1.3588874605586069884305247166062872502	74
624	03-NOV-12	Joakim Noah	10.32333954956247310285468368957108018936	9.20930232558139534883720930232558139535	-1.11403722398107775401747438724549879401	75
625	03-NOV-12	Carlos Boozer	18.41144901610017889087656529516994633274	5.53846153846153846153846153846153846154	-12.8729874776386404293381037567084078712	53
626	03-NOV-12	Kirk Hinrich	9.98714493054115695625129587393738337135	3	-6.98714493054115695625129587393738337135	41
627	03-NOV-12	Richard Hamilton	16.68980963045912653975363941769316909294	7.57894736842105263157894736842105263158	-9.11086226203807390817469204927211646136	46
628	03-NOV-12	Marco Belinelli	15.07915567282321899736147757255936675462	16.13793103448275862068965517241379310345	1.05877536165953962332817759985442634883	50
629	03-NOV-12	Nate Robinson	17.79062389848431441663729291505111032781	22.5	4.70937610151568558336270708494888967219	51
634	03-NOV-12	Nicolas Batum	13.36960567124501550731058927780239255649	13.6	0.23039432875498449268941072219760744351	82
635	03-NOV-12	LaMarcus Aldridge	22.3910859439218193442323499863001187323	23.14285714285714285714285714285714285714	0.75177119893532351291050715655702412484	78
636	03-NOV-12	Wesley Matthews	15.30948056665455866327642571739920087178	13.71428571428571428571428571428571428572	-1.59519485236884437756214000311348658606	77
637	03-NOV-12	Damian Lillard	22.58127138197151722491845015514360728777	17.14285714285714285714285714285714285714	-5.43841423911437436777559301228646443063	80
638	03-NOV-12	J.J. Hickson	16.03284902084649399873657612128869235629	9	-7.03284902084649399873657612128869235629	62
646	03-NOV-12	Chandler Parsons	15.90525679758308157099697885196374622356	6.89361702127659574468085106382978723404	-9.01163977630648582631612778813395898952	78
647	03-NOV-12	James Harden	26.94548097891931184880058153622486067361	21.07317073170731707317073170731707317073	-5.87231024721199477562984982890778750288	81
648	03-NOV-12	Patrick Patterson	11.15800836594251787882876804749696397247	11.36842105263157894736842105263157894737	0.2104126866890610685396530051346149749	67
649	03-NOV-12	Jeremy Lin	16.24855246434119474650473097020194887728	12.64864864864864864864864864864864864865	-3.59990381569254609785608232155330022863	77
650	03-NOV-12	Omer Asik	10.48518111964873765093304061470911086718	4.11428571428571428571428571428571428571	-6.37089540536302336521875490042339658147	70
651	03-NOV-12	Carlos Delfino	15.32471728594507269789983844911147011309	3.6	-11.72471728594507269789983844911147011309	46
655	03-NOV-12	Byron Mullens	14.98203592814371257485029940119760479042	18	3.01796407185628742514970059880239520958	63
656	03-NOV-12	Brendan Haywood	6.56	16.25806451612903225806451612903225806452	9.69806451612903225806451612903225806452	62
657	03-NOV-12	Kemba Walker	20.28993617207309609163242108944653318178	11.61290322580645161290322580645161290323	-8.67703294626664447872919528299492027855	64
658	03-NOV-12	Michael Kidd-Gilchrist	12.33093736247616253483937215784069238668	17.33333333333333333333333333333333333333	5.00239597085717079849396117549264094665	47
659	03-NOV-12	Gerald Henderson	15.77533644603131007964844822850865146938	12.6	-3.17533644603131007964844822850865146938	56
660	03-NOV-12	Ramon Sessions	16.2470750172057811424638678596008258775	28.28571428571428571428571428571428571429	12.03863926850850457182184642611345983679	49
661	03-NOV-12	Ben Gordon	17.67239635995955510616784630940343781598	11.36842105263157894736842105263157894737	-6.30397530732797615879942525677185886861	41
681	03-NOV-12	Anderson Varejao	12.39528432732316227461858529819694868239	20	7.60471567267683772538141470180305131761	66
682	03-NOV-12	Alonzo Gee	10.03021978021978021978021978021978021978	18	7.96978021978021978021978021978021978022	61
683	03-NOV-12	Kyrie Irving	23.33808966031306570120327973591736769247	29.45454545454545454545454545454545454546	6.11645579423238884425126571862808685299	63
684	03-NOV-12	Tristan Thompson	11.52774193548387096774193548387096774194	10.8	-0.72774193548387096774193548387096774194	54
685	03-NOV-12	Dion Waiters	16.90394904458598726114649681528662420382	16.13793103448275862068965517241379310345	-0.76601801010322864045684164287283110037	54
686	03-NOV-12	Daniel Gibson	10.30813953488372093023255813953488372093	8.57142857142857142857142857142857142857	-1.73671096345514950166112956810631229236	42
691	03-NOV-12	Brandon Jennings	16.25623387790197764402407566638005159071	12.64864864864864864864864864864864864865	-3.60758522925332899537542701773140294206	66
692	03-NOV-12	Monta Ellis	17.39788732394366197183098591549295774648	23	5.60211267605633802816901408450704225352	73
693	03-NOV-12	Ersan Ilyasova	16.80199252801992528019925280199252801992	4	-12.80199252801992528019925280199252801992	52
694	03-NOV-12	Tobias Harris	17.64815389388768228358672044678870617437	11.07692307692307692307692307692307692308	-6.57123081696460536050979736986562925129	46
696	03-NOV-12	Mike Dunleavy	12.43425076452599388379204892966360856269	29.82857142857142857142857142857142857143	17.39432066404543468763652249890782000874	58
697	03-NOV-12	Larry Sanders	11.95244385733157199471598414795244385733	20.4	8.44755614266842800528401585204755614267	52
698	03-NOV-12	Ekpe Udoh	8.26175115207373271889400921658986175115	7.82608695652173913043478260869565217391	-0.43566419555199358845922660789420957724	46
702	03-NOV-12	Mo Williams	15.91773778920308483290488431876606683805	26.76923076923076923076923076923076923077	10.85149298002768439786434645046470239272	70
703	03-NOV-12	Gordon Hayward	19.16092673763306199123356293049467752035	15	-4.16092673763306199123356293049467752035	62
704	03-NOV-12	Al Jefferson	20.2609786700125470514429109159347553325	16.45714285714285714285714285714285714286	-3.80383581286968990858576805879189818964	63
705	03-NOV-12	Paul Millsap	18.83858998144712430426716141001855287569	19.74193548387096774193548387096774193548	0.90334550242384343766832246094918905979	56
706	03-NOV-12	Marvin Williams	12.20562028786840301576422206991089787526	11.52	-0.68562028786840301576422206991089787526	54
707	03-NOV-12	Randy Foye	12.88988764044943820224719101123595505618	10.08	-2.80988764044943820224719101123595505618	52
708	03-NOV-12	Derrick Favors	16.66552079752492265383293227913372292884	9.39130434782608695652173913043478260869	-7.27421644969883569731119314869894032015	46
723	03-NOV-12	Stephen Curry	25.92098723112520353072242694318279201303	19.25581395348837209302325581395348837209	-6.66517327763683143769917112922930364094	86
724	03-NOV-12	David Lee	17.5089163237311385459533607681755829904	9.93103448275862068965517241379310344828	-7.57788184097251785629818835438247954212	64
725	03-NOV-12	Klay Thompson	21.42785987049643035032375892412419060269	21.85714285714285714285714285714285714286	0.42928298664642679253338393301866654017	66
726	03-NOV-12	Festus Ezeli	10.62798634812286689419795221843003412969	10.28571428571428571428571428571428571429	-0.3422720624085811799122379327157484154	41
727	03-NOV-12	Harrison Barnes	15.34929145921103025660666411336652623516	18	2.65070854078896974339333588663347376484	43
728	03-NOV-12	Jarrett Jack	13.56974264183136641546992748471491539884	18	4.43025735816863358453007251528508460116	59
729	03-NOV-12	Carl Landry	16.75423728813559322033898305084745762712	25.875	9.12076271186440677966101694915254237288	56
734	03-NOV-12	Blake Griffin	22.36577857976860205922938116972720517992	18	-4.36577857976860205922938116972720517992	71
735	03-NOV-12	Chris Paul	19.86747720364741641337386018237082066869	29.45454545454545454545454545454545454546	9.58706825089803813208068527217463387677	67
736	03-NOV-12	Caron Butler	13.81485468245425188374596340150699677072	22.5	8.68514531754574811625403659849300322928	57
737	03-NOV-12	DeAndre Jordan	13.02441690962099125364431486880466472303	6.54545454545454545454545454545454545454	-6.47896236416644579909886032335011926849	45
739	03-NOV-12	Jamal Crawford	19.63177570093457943925233644859813084112	30.375	10.74322429906542056074766355140186915888	63
740	03-NOV-12	Matt Barnes	12.62381852551984877126654064272211720227	1.5	-11.12381852551984877126654064272211720227	52
803	04-NOV-12	Kyle Lowry	18.04464039680352714246348856434279415817	24.75	6.70535960319647285753651143565720584183	72
804	04-NOV-12	DeMar DeRozan	22.33432988810113607243529512257623643974	24.75	2.41567011189886392756470487742376356026	66
805	04-NOV-12	Andrea Bargnani	17.02754919499105545617173524150268336315	15	-2.02754919499105545617173524150268336315	58
807	04-NOV-12	Landry Fields	7.88916876574307304785894206549118387909	8.57142857142857142857142857142857142857	0.68225980568549838071248650593738754948	43
808	04-NOV-12	Alan Anderson	12.33087710957927264083670073686712621821	20.90322580645161290322580645161290322581	8.5723486968723402623891057147457770076	44
810	04-NOV-12	Amir Johnson	12.38723712835387962291515591007976794779	14.08695652173913043478260869565217391305	1.69971939338525081186745278557240596526	40
858	05-NOV-12	Ronnie Brewer	6.97233201581027667984189723320158102767	14.18181818181818181818181818181818181818	7.20948616600790513833992094861660079051	59
859	05-NOV-12	Carmelo Anthony	23.59333151134189669308554249795025963378	25.2	1.60666848865810330691445750204974036622	69
860	05-NOV-12	Tyson Chandler	10.77443511943189154293092317624273724984	18	7.22556488056810845706907682375726275016	49
861	05-NOV-12	Raymond Felton	13.14747131321716957076073098172545686358	25.04347826086956521739130434782608695652	11.89600694765239564663057336610063009294	53
862	05-NOV-12	Jason Kidd	7.67816091954022988505747126436781609195	6	-1.67816091954022988505747126436781609195	43
863	05-NOV-12	J.R. Smith	14.91337433545293443135619722714479307829	18	3.08662566454706556864380277285520692171	69
864	05-NOV-12	Pablo Prigioni	7.25848563968668407310704960835509138381	15.84	8.58151436031331592689295039164490861619	40
865	05-NOV-12	Steve Novak	12.13778705636743215031315240083507306889	0	-12.13778705636743215031315240083507306889	46
870	05-NOV-12	Jrue Holiday	18.19119878603945371775417298937784522003	17.48571428571428571428571428571428571429	-0.70548450032516800346845870366355950574	75
871	05-NOV-12	Dorell Wright	14.41769041769041769041769041769041769042	14.8235294117647058823529411764705882353	0.40583899407428819193525075878017054488	67
872	05-NOV-12	Thaddeus Young	15.42669344531677925871827642870184407523	17.37931034482758620689655172413793103448	1.95261689951080694817827529543608695925	65
873	05-NOV-12	Evan Turner	13.52658382562640048889794255449174984722	14.66666666666666666666666666666666666667	1.14008284104026617776872411217491681945	64
875	05-NOV-12	Nick Young	18.03249630723781388478581979320531757755	14.89655172413793103448275862068965517241	-3.13594458309988285030306117251566240514	61
878	05-NOV-12	Lavoy Allen	9.94408240487702333403405507672903090183	9	-0.94408240487702333403405507672903090183	42
882	05-NOV-12	Luis Scola	15.8626609442060085836909871244635193133	16.36363636363636363636363636363636363636	0.50097541943035505267264923917284432306	65
883	05-NOV-12	Michael Beasley	19.14839319470699432892249527410207939509	8.68965517241379310344827586206896551724	-10.45873802229320122547421941203311387785	63
884	05-NOV-12	Goran Dragić	18.6086956521739130434782608695652173913	16.13793103448275862068965517241379310345	-2.47076461769115442278860569715142428785	64
885	05-NOV-12	Marcin Gortat	14.2211224388795407304760962090468177769	16	1.7788775611204592695239037909531822231	62
886	05-NOV-12	Jared Dudley	11.39916782246879334257975034674063800277	12.52173913043478260869565217391304347826	1.12257130796598926611590182717240547549	48
887	05-NOV-12	Markieff Morris	16.77876106194690265486725663716814159292	12.46153846153846153846153846153846153846	-4.31722260040844111640571817562968005446	42
888	05-NOV-12	Shannon Brown	15.1114413075780089153046062407132243685	30.85714285714285714285714285714285714286	15.74570154956484822755253661642963277436	41
908	05-NOV-12	Andrei Kirilenko	12.35229357798165137614678899082568807339	17.45454545454545454545454545454545454545	5.10225187656380316930775646371976647206	62
909	05-NOV-12	Brandon Roy	8.90322580645161290322580645161290322581	7.44827586206896551724137931034482758621	-1.4549499443826473859844271412680756396	51
910	05-NOV-12	Nikola Pekovic	18.71374819102749638205499276410998552822	29.07692307692307692307692307692307692308	10.36317488589558054102193031281309139486	55
911	05-NOV-12	Luke Ridnour	12.03792667509481668773704171934260429836	17.05263157894736842105263157894736842105	5.01470490385255173331558985960476412269	51
912	05-NOV-12	Derrick Williams	15.30165745856353591160220994475138121547	16	0.69834254143646408839779005524861878453	44
914	05-NOV-12	Dante Cunningham	9.95510204081632653061224489795918367347	15.23076923076923076923076923076923076923	5.27566718995290423861852433281004709576	45
915	05-NOV-12	Chase Budinger	12.53980891719745222929936305732484076433	22.15384615384615384615384615384615384615	9.61403723664870161685448309652131308182	47
916	05-NOV-12	Alexey Shved	14.56512332323669407183037646040675032453	20	5.43487667676330592816962353959324967547	40
1239	07-NOV-12	E'Twaun Moore	12.99557332571754962159074682279023275739	10	-2.99557332571754962159074682279023275739	69
1240	07-NOV-12	Arron Afflalo	15.21433370660694288913773796192609182531	15.42857142857142857142857142857142857143	0.21423772196448568229083346664533674612	62
1242	07-NOV-12	Glen Davis	14.35809654228004108182129407737076343718	7.57894736842105263157894736842105263158	-6.7791491738589884502423467089497108056	55
1243	07-NOV-12	Nikola Vu�?ević	18.09259259259259259259259259259259259259	4	-14.09259259259259259259259259259259259259	60
1246	07-NOV-12	J.J. Redick	19.55100693298118190822053482997689006273	28.8	9.24899306701881809177946517002310993727	54
1263	07-NOV-12	Danilo Gallinari	19.07429963459196102314250913520097442144	11.41463414634146341463414634146341463415	-7.65966548825049760850836279373755978729	73
1264	07-NOV-12	Ty Lawson	15.55100473569691539741456546781006015615	19.89473684210526315789473684210526315789	4.34373210640834776048017137429520300174	77
1265	07-NOV-12	Andre Iguodala	10.61543320349510474786819665227918728287	12.31578947368421052631578947368421052632	1.70035627018910577844759282140502324345	74
1266	07-NOV-12	Kenneth Faried	16.61865407319952774498229043683589138135	16.45714285714285714285714285714285714286	-0.16151121605667060212514757969303423849	58
1267	07-NOV-12	Kosta Koufos	12.52924791086350974930362116991643454039	6.85714285714285714285714285714285714286	-5.67210505372065260644647831277357739753	51
1268	07-NOV-12	Andre Miller	11.62732919254658385093167701863354037267	0	-11.62732919254658385093167701863354037267	50
1269	07-NOV-12	Corey Brewer	14.13066871637202152190622598001537279016	22.90909090909090909090909090909090909091	8.77842219271888756900286492907553630075	42
1280	07-NOV-12	DeMar DeRozan	22.33432988810113607243529512257623643974	21.6	-0.73432988810113607243529512257623643974	68
1281	07-NOV-12	Andrea Bargnani	17.02754919499105545617173524150268336315	23.07692307692307692307692307692307692308	6.04937388193202146690518783542039355993	64
1282	07-NOV-12	Jose Calderon	11.92211090729504726964865246225483279244	12	0.07788909270495273035134753774516720756	53
1284	07-NOV-12	Jonas Valan�?iūnas	16.29416905980771631914096641278561618179	14.4	-1.89416905980771631914096641278561618179	42
1322	07-NOV-12	Greg Monroe	18.02918603394227651064749756783050481029	18.9	0.87081396605772348935250243216949518971	75
1323	07-NOV-12	Jason Maxiell	9.18382659441433930804501875781575656524	11.64705882352941176470588235294117647059	2.46323222911507245666086359512541990535	57
1324	07-NOV-12	Rodney Stuckey	16.28813278008298755186721991701244813278	5.29411764705882352941176470588235294118	-10.9940151330241640224554552111300951916	73
1325	07-NOV-12	Brandon Knight	18.31379547014413177762525737817433081675	22.90909090909090909090909090909090909091	4.59529543894677731328383353091657827416	66
1326	07-NOV-12	Tayshaun Prince	9.57279860505666957279860505666957279861	13.33333333333333333333333333333333333333	3.76053472827666376053472827666376053472	56
1327	07-NOV-12	Kyle Singler	11.05059422750424448217317487266553480475	17.28	6.22940577249575551782682512733446519525	44
1329	07-NOV-12	Jonas Jerebko	12.15702828197551709582102152807091599831	16.8	4.64297171802448290417897847192908400169	40
1406	08-NOV-12	Chris Paul	19.86747720364741641337386018237082066869	22.23529411764705882352941176470588235294	2.36781691399964241015555158233506168425	63
1407	08-NOV-12	DeAndre Jordan	13.02441690962099125364431486880466472303	27	13.97558309037900874635568513119533527697	55
