SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_TURNOVERS_PER36	TURNOVERS_PER36	CHANGE_IN_TP36	COMBINED_MINUTES
165	31-OCT-12	Elton Brand	1.33788395904436860068259385665529010239	2.76923076923076923076923076923076923077	1.43134681018640063008663691257547912838	62
164	31-OCT-12	Shawn Marion	1.5126741265129024891527746060744462206	4.96551724137931034482758620689655172414	3.45284311486640785567481160082210550354	62
162	31-OCT-12	Darren Collison	2.20743378588916091698197195637658580013	1.09090909090909090909090909090909090909	-1.11652469498007000789106286546749489104	65
163	31-OCT-12	O.J. Mayo	2.51067851067851067851067851067851067851	2.32258064516129032258064516129032258064	-0.18809786551722035593003334938818809787	62
166	31-OCT-12	Brandan Wright	0.9845303867403314917127071823204419889496	1.38461538461538461538461538461538461539	0.4000849978750531236719082022949426264404	46
168	31-OCT-12	Vince Carter	1.50979538528515454941227688289072703526	1.8	0.29020461471484545058772311710927296474	47
167	31-OCT-12	Jae Crowder	1.20437680794868569991196075965287385235	0	-1.20437680794868569991196075965287385235	42
229	31-OCT-12	Pau Gasol	2.27389603130240357741755170486305198435	1.8	-0.47389603130240357741755170486305198435	80
228	31-OCT-12	Dwight Howard	3.02224969097651421508034610630407911001	2.63414634146341463414634146341463414634	-0.38810334951309958093400464288944496367	79
231	31-OCT-12	Metta World Peace	1.41814239248283339356704011564871702205	6.54545454545454545454545454545454545454	5.12731215297171206097841442980582843249	69
230	31-OCT-12	Kobe Bryant	3.30441799475489207181763163203550534598	6.63157894736842105263157894736842105263	3.32716095261352898081394731533291570665	73
232	31-OCT-12	Steve Nash	2.8623141564318034906270200387847446671	4.5	1.6376858435681965093729799612152553329	50
233	31-OCT-12	Steve Blake	2.36830073660147320294640589281178562357	0	-2.36830073660147320294640589281178562357	42
259	01-NOV-12	Tony Parker	2.68322981366459627329192546583850931677	1.02857142857142857142857142857142857143	-1.65465838509316770186335403726708074534	70
262	01-NOV-12	Tim Duncan	2.44236377590176515732924021488871834229	0	-2.44236377590176515732924021488871834229	68
263	01-NOV-12	Kawhi Leonard	1.68293569092890880465059949134068063461	4.5	2.81706430907109119534940050865931936539	66
261	01-NOV-12	Danny Green	1.45080831408775981524249422632794457275	0	-1.45080831408775981524249422632794457275	68
260	01-NOV-12	Boris Diaw	2.17437895762299074525085241110569897711	3.08571428571428571428571428571428571429	0.91133532809129496903486187460858673718	65
264	01-NOV-12	Stephen Jackson	2.65542676501580611169652265542676501581	2.66666666666666666666666666666666666667	0.01123990165086055497014401123990165086	52
457	02-NOV-12	Kevin Durant	3.1618569636135508155583437892095357591	5.02325581395348837209302325581395348837	1.86139885033993755653467946660441772927	84
458	02-NOV-12	Russell Westbrook	4.57564044943820224719101123595505617978	1.02857142857142857142857142857142857143	-3.54706902086677367576243980738362760835	72
459	02-NOV-12	Serge Ibaka	1.62838290140575690924739409008319785789	1.33333333333333333333333333333333333333	-0.29504956807242357591406075674986452456	58
460	02-NOV-12	Kendrick Perkins	2.50286568651881385497134313481186145029	1.71428571428571428571428571428571428571	-0.78857997223309956925705742052614716458	49
461	02-NOV-12	Thabo Sefolosha	1.14586070959264126149802890932982917214	0	-1.14586070959264126149802890932982917214	45
462	02-NOV-12	Kevin Martin	1.80547112462006079027355623100303951368	0	-1.80547112462006079027355623100303951368	62
463	02-NOV-12	Nick Collison	1.8096453176830824189844348047971421281	1.28571428571428571428571428571428571429	-0.52393103196879670469872051908285641381	48
572	03-NOV-12	Ty Lawson	2.71393830794829130935620120312300012799	3.51219512195121951219512195121951219512	0.79825681400292820283892074809651206713	79
573	03-NOV-12	Andre Iguodala	1.75471102221286451205390041056953363512	4.5	2.74528897778713548794609958943046636488	76
574	03-NOV-12	Danilo Gallinari	1.5566382460414129110840438489646772229	0	-1.5566382460414129110840438489646772229	72
576	03-NOV-12	Kosta Koufos	1.32590529247910863509749303621169916434	0	-1.32590529247910863509749303621169916434	41
575	03-NOV-12	Kenneth Faried	1.97874852420306965761511216056670602125	1	-0.97874852420306965761511216056670602125	56
578	03-NOV-12	Corey Brewer	1.77555726364335126825518831667947732513	0	-1.77555726364335126825518831667947732513	47
577	03-NOV-12	Andre Miller	2.79989197947610045908722657304887928707	3.85714285714285714285714285714285714286	1.05725087766675668376991628409397785579	49
